Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,658,658,0.28
1,inf,658,0.28
2,inf,658,0.29
3,inf,658,0.30
4,inf,658,0.30
5,inf,658,0.31
6,inf,658,0.31
7,inf,658,0.32
8,inf,658,0.32
9,inf,658,0.33
10,inf,658,0.34
11,inf,658,0.34
12,inf,658,0.35
13,inf,658,0.36
14,inf,658,0.36
15,inf,658,0.37
16,inf,658,0.38
17,inf,658,0.38
18,inf,658,0.39
19,inf,658,0.39
20,inf,658,0.40
21,inf,658,0.41
22,inf,658,0.41
23,inf,658,0.42
24,inf,658,0.43
25,inf,658,0.43
26,inf,658,0.44
27,inf,658,0.45
28,inf,658,0.45
29,inf,658,0.46
30,inf,658,0.46
31,inf,658,0.47
32,inf,658,0.47
33,inf,658,0.48
34,inf,658,0.48
35,inf,658,0.49
36,inf,658,0.50
37,inf,658,0.50
38,inf,658,0.51
39,inf,658,0.52
40,inf,658,0.52
41,inf,658,0.53
42,inf,658,0.54
43,inf,658,0.54
44,inf,658,0.55
45,inf,658,0.56
46,inf,658,0.56
47,inf,658,0.57
48,inf,658,0.58
49,inf,658,0.58
50,inf,658,0.59
51,inf,658,0.60
52,inf,658,0.61
53,inf,658,0.62
54,inf,658,0.62
55,inf,658,0.63
56,inf,658,0.64
57,inf,658,0.65
58,inf,658,0.66
59,inf,658,0.66
60,inf,658,0.67
61,inf,658,0.68
62,inf,658,0.68
63,inf,658,0.69
64,inf,658,0.70
65,inf,658,0.70
66,inf,658,0.71
67,inf,658,0.71
68,inf,658,0.72
69,inf,658,0.72
70,inf,658,0.73
71,inf,658,0.73
72,inf,658,0.74
73,inf,658,0.74
74,inf,658,0.75
75,inf,658,0.75
76,inf,658,0.76
77,inf,658,0.76
78,inf,658,0.77
79,inf,658,0.78
80,inf,658,0.78
81,inf,658,0.79
82,inf,658,0.79
83,inf,658,0.80
84,inf,658,0.81
85,inf,658,0.82
86,inf,658,0.82
87,inf,658,0.83
88,inf,658,0.83
89,inf,658,0.83
90,inf,658,0.84
91,inf,658,0.84
92,inf,658,0.85
93,inf,658,0.86
94,inf,658,0.86
95,inf,658,0.87
96,inf,658,0.88
97,inf,658,0.88
98,inf,658,0.89
99,inf,658,0.90
100,inf,658,0.90
101,inf,658,0.92
102,inf,658,0.92
103,inf,658,0.93
104,inf,658,0.93
105,inf,658,0.94
106,inf,658,0.94
107,inf,658,0.95
108,inf,658,0.95
109,inf,658,0.96
110,inf,658,0.97
111,inf,658,0.97
112,inf,658,0.98
113,inf,658,0.98
114,inf,658,0.99
115,inf,658,0.99
116,inf,658,1.00
117,inf,658,1.00
118,inf,658,1.01
119,inf,658,1.02
120,inf,658,1.02
121,inf,658,1.03
122,inf,658,1.03
123,inf,658,1.04
124,inf,658,1.04
125,inf,658,1.05
126,inf,658,1.05
127,inf,658,1.06
128,inf,658,1.07
129,inf,658,1.08
130,inf,658,1.09
131,inf,658,1.09
132,inf,658,1.10
133,inf,658,1.10
134,inf,658,1.11
135,inf,658,1.12
136,inf,658,1.12
137,inf,658,1.13
138,inf,658,1.14
139,inf,658,1.15
140,inf,658,1.15
141,inf,658,1.16
142,inf,658,1.16
143,inf,658,1.17
144,inf,658,1.17
145,inf,658,1.18
146,inf,658,1.18
147,inf,658,1.19
148,inf,658,1.20
149,inf,658,1.21
150,inf,658,1.21
151,inf,658,1.23
152,inf,658,1.24
153,inf,658,1.24
154,inf,658,1.25
155,inf,658,1.26
156,inf,658,1.26
157,inf,658,1.27
158,inf,658,1.28
159,inf,658,1.29
160,inf,658,1.33
161,inf,658,1.34
162,inf,658,1.34
163,inf,658,1.35
164,inf,658,1.36
165,inf,658,1.37
166,inf,658,1.37
167,inf,658,1.38
168,inf,658,1.38
169,inf,658,1.39
170,inf,658,1.39
171,inf,658,1.40
172,inf,658,1.41
173,inf,658,1.41
174,inf,658,1.42
175,inf,658,1.42
176,inf,658,1.43
177,inf,658,1.43
178,inf,658,1.44
179,inf,658,1.45
180,inf,658,1.45
181,inf,658,1.46
182,inf,658,1.46
