Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,45048,45048,9.14
1,inf,45048,9.15
2,inf,45048,9.18
3,inf,45048,9.20
4,inf,45048,9.23
5,inf,45048,9.25
6,inf,45048,9.27
7,inf,45048,9.28
8,inf,45048,9.30
9,inf,45048,9.31
10,inf,45048,9.32
11,inf,45048,9.34
12,inf,45048,9.35
13,inf,45048,9.37
14,inf,45048,9.39
15,inf,45048,9.40
16,inf,45048,9.42
17,inf,45048,9.45
18,inf,45048,9.46
19,inf,45048,9.48
20,inf,45048,9.49
21,inf,45048,9.51
22,inf,45048,9.52
23,inf,45048,9.53
24,inf,45048,9.56
25,inf,45048,9.57
26,inf,45048,9.59
27,inf,45048,9.60
28,inf,45048,9.64
29,inf,45048,9.65
30,inf,45048,9.67
31,inf,45048,9.68
32,inf,45048,9.71
33,inf,45048,9.73
34,inf,45048,9.75
35,inf,45048,9.76
36,inf,45048,9.79
37,inf,45048,9.80
38,inf,45048,9.82
39,inf,45048,9.84
40,inf,45048,9.87
41,inf,45048,9.88
42,inf,45048,9.89
43,inf,45048,9.91
44,inf,45048,9.93
45,inf,45048,9.96
46,inf,45048,9.97
47,inf,45048,9.99
48,inf,45048,10.01
49,inf,45048,10.03
50,inf,45048,10.04
51,inf,45048,10.16
52,inf,45048,10.19
53,inf,45048,10.20
54,inf,45048,10.21
55,inf,45048,10.24
56,inf,45048,10.25
57,inf,45048,10.28
58,inf,45048,10.30
59,inf,45048,10.31
60,inf,45048,10.34
61,inf,45048,10.35
62,inf,45048,10.38
63,inf,45048,10.39
64,inf,45048,10.41
65,inf,45048,10.43
66,inf,45048,10.45
67,inf,45048,10.47
68,inf,45048,10.48
69,inf,45048,10.50
70,inf,45048,10.51
71,inf,45048,10.52
72,inf,45048,10.54
73,inf,45048,10.56
74,inf,45048,10.59
75,inf,45048,10.61
76,inf,45048,10.62
77,inf,45048,10.64
78,inf,45048,10.65
79,inf,45048,10.66
80,inf,45048,10.68
81,inf,45048,10.70
82,inf,45048,10.72
83,inf,45048,10.73
84,inf,45048,10.75
85,inf,45048,10.77
86,inf,45048,10.78
87,inf,45048,10.80
88,inf,45048,10.81
89,inf,45048,10.84
90,inf,45048,10.85
91,inf,45048,10.87
92,inf,45048,10.91
93,inf,45048,10.93
94,inf,45048,10.95
95,inf,45048,10.96
96,inf,45048,10.97
97,inf,45048,11.00
98,inf,45048,11.01
99,inf,45048,11.03
100,inf,45048,11.04
101,inf,45048,11.16
102,inf,45048,11.18
103,inf,45048,11.20
104,inf,45048,11.22
105,inf,45048,11.24
106,inf,45048,11.25
107,inf,45048,11.28
108,inf,45048,11.29
109,inf,45048,11.30
110,inf,45048,11.32
111,inf,45048,11.34
112,inf,45048,11.37
113,inf,45048,11.38
114,inf,45048,11.39
115,inf,45048,11.41
116,inf,45048,11.42
117,inf,45048,11.43
118,inf,45048,11.45
119,inf,45048,11.46
120,inf,45048,11.47
121,inf,45048,11.49
122,inf,45048,11.51
123,inf,45048,11.52
124,inf,45048,11.54
125,inf,45048,11.56
126,inf,45048,11.57
127,inf,45048,11.59
128,inf,45048,11.61
129,inf,45048,11.62
130,inf,45048,11.63
131,inf,45048,11.65
132,inf,45048,11.67
133,inf,45048,11.69
134,inf,45048,11.71
135,inf,45048,11.72
136,inf,45048,11.74
137,inf,45048,11.76
138,inf,45048,11.77
139,inf,45048,11.80
140,inf,45048,11.82
141,inf,45048,11.83
142,inf,45048,11.85
143,inf,45048,11.88
144,inf,45048,11.91
145,inf,45048,11.92
146,inf,45048,11.94
147,inf,45048,11.96
148,inf,45048,11.97
149,inf,45048,11.99
150,inf,45048,12.01
151,inf,45048,12.13
152,inf,45048,12.15
153,inf,45048,12.16
154,inf,45048,12.19
155,inf,45048,12.20
156,inf,45048,12.21
157,inf,45048,12.23
158,inf,45048,12.25
159,inf,45048,12.26
160,inf,45048,12.27
161,inf,45048,12.28
162,inf,45048,12.30
163,inf,45048,12.31
164,inf,45048,12.34
165,inf,45048,12.35
166,inf,45048,12.37
167,inf,45048,12.40
168,inf,45048,12.42
169,inf,45048,12.44
170,inf,45048,12.45
171,inf,45048,12.46
