Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,312246,312246,57.17
1,inf,312246,57.23
2,inf,312246,57.28
3,inf,312246,57.33
4,inf,312246,57.40
5,inf,312246,57.45
6,inf,312246,57.50
7,inf,312246,57.53
8,inf,312246,57.59
9,inf,312246,57.63
10,inf,312246,57.68
11,inf,312246,57.72
12,inf,312246,57.78
13,inf,312246,57.84
14,inf,312246,57.87
15,inf,312246,57.91
16,inf,312246,57.97
17,inf,312246,58.03
18,inf,312246,58.08
19,inf,312246,58.11
20,inf,312246,58.15
21,inf,312246,58.19
22,inf,312246,58.23
23,inf,312246,58.27
24,inf,312246,58.33
25,inf,312246,58.36
26,inf,312246,58.42
27,inf,312246,58.46
28,inf,312246,58.52
29,inf,312246,58.57
30,inf,312246,58.65
31,inf,312246,58.69
32,inf,312246,58.72
33,inf,312246,58.76
34,inf,312246,58.83
35,inf,312246,58.89
36,inf,312246,58.95
37,inf,312246,58.97
38,inf,312246,59.04
39,inf,312246,59.13
40,inf,312246,59.19
41,inf,312246,59.23
42,inf,312246,59.29
43,inf,312246,59.32
44,inf,312246,59.35
45,inf,312246,59.40
46,inf,312246,59.43
47,inf,312246,59.47
48,inf,312246,59.51
49,inf,312246,59.55
50,inf,312246,59.61
51,inf,312246,60.28
52,inf,312246,60.33
53,inf,312246,60.36
54,inf,312246,60.41
55,inf,312246,60.46
56,inf,312246,60.49
57,inf,312246,60.55
58,inf,312246,60.59
59,inf,312246,60.65
60,inf,312246,60.69
61,inf,312246,60.77
62,inf,312246,60.83
63,inf,312246,60.87
64,inf,312246,60.91
65,inf,312246,60.96
66,inf,312246,61.01
67,inf,312246,61.07
68,inf,312246,61.10
69,inf,312246,61.14
70,inf,312246,61.20
71,inf,312246,61.28
72,inf,312246,61.31
73,inf,312246,61.35
74,inf,312246,61.39
75,inf,312246,61.45
76,inf,312246,61.49
77,inf,312246,61.55
78,inf,312246,61.60
79,inf,312246,61.63
80,inf,312246,61.67
81,inf,312246,61.72
82,inf,312246,61.78
83,inf,312246,61.82
84,inf,312246,61.85
85,inf,312246,61.92
86,inf,312246,61.97
87,inf,312246,62.02
88,inf,312246,62.08
89,inf,312246,62.11
90,inf,312246,62.17
91,inf,312246,62.23
92,inf,312246,62.27
93,inf,312246,62.32
94,inf,312246,62.36
95,inf,312246,62.39
96,inf,312246,62.45
97,inf,312246,62.50
98,inf,312246,62.57
99,inf,312246,62.60
100,inf,312246,62.66
101,inf,312246,63.35
102,inf,312246,63.38
103,inf,312246,63.41
104,inf,312246,63.44
105,inf,312246,63.50
106,inf,312246,63.53
107,inf,312246,63.59
108,inf,312246,63.65
109,inf,312246,63.71
110,inf,312246,63.75
111,inf,312246,63.80
112,inf,312246,63.83
113,inf,312246,63.88
114,inf,312246,63.94
115,inf,312246,63.97
116,inf,312246,64.06
117,inf,312246,64.11
118,inf,312246,64.16
119,inf,312246,64.21
