Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,7746,7746,67.78
1,inf,7746,67.80
2,inf,7746,67.82
3,inf,7746,67.85
4,inf,7746,67.88
5,inf,7746,67.90
6,inf,7746,67.92
7,inf,7746,67.95
8,inf,7746,67.97
9,inf,7746,68.00
10,inf,7746,68.04
11,inf,7746,68.05
12,inf,7746,68.09
13,inf,7746,68.11
14,inf,7746,68.13
15,inf,7746,68.16
16,inf,7746,68.19
17,inf,7746,68.22
18,inf,7746,68.24
19,inf,7746,68.27
20,inf,7746,68.29
21,inf,7746,68.32
22,inf,7746,68.35
23,inf,7746,68.38
24,inf,7746,68.41
25,inf,7746,68.44
26,inf,7746,68.47
27,inf,7746,68.49
28,inf,7746,68.51
29,inf,7746,68.53
30,inf,7746,68.57
31,inf,7746,68.60
32,inf,7746,68.62
33,inf,7746,68.65
34,inf,7746,68.67
35,inf,7746,68.69
36,inf,7746,68.72
37,inf,7746,68.74
38,inf,7746,68.77
39,inf,7746,68.79
40,inf,7746,68.81
41,inf,7746,68.85
42,inf,7746,68.88
43,inf,7746,68.89
44,inf,7746,68.92
45,inf,7746,68.94
46,inf,7746,68.97
47,inf,7746,68.99
48,inf,7746,69.02
49,inf,7746,69.05
50,inf,7746,69.08
51,inf,7746,69.46
52,inf,7746,69.48
53,inf,7746,69.51
54,inf,7746,69.53
55,inf,7746,69.56
56,inf,7746,69.60
57,inf,7746,69.63
58,inf,7746,69.64
59,inf,7746,69.67
60,inf,7746,69.70
61,inf,7746,69.74
62,inf,7746,69.78
63,inf,7746,69.80
64,inf,7746,69.83
65,inf,7746,69.86
66,inf,7746,69.88
67,inf,7746,69.90
68,inf,7746,69.92
69,inf,7746,69.95
70,inf,7746,69.97
71,inf,7746,70.00
72,inf,7746,70.02
73,inf,7746,70.06
74,inf,7746,70.09
75,inf,7746,70.12
76,inf,7746,70.15
77,inf,7746,70.18
78,inf,7746,70.20
79,inf,7746,70.21
80,inf,7746,70.25
81,inf,7746,70.28
82,inf,7746,70.30
83,inf,7746,70.32
84,inf,7746,70.35
85,inf,7746,70.37
86,inf,7746,70.39
87,inf,7746,70.41
88,inf,7746,70.44
89,inf,7746,70.45
90,inf,7746,70.47
91,inf,7746,70.50
92,inf,7746,70.53
93,inf,7746,70.55
94,inf,7746,70.57
95,inf,7746,70.60
96,inf,7746,70.62
97,inf,7746,70.64
98,inf,7746,70.67
99,inf,7746,70.69
100,inf,7746,70.73
101,inf,7746,71.11
102,inf,7746,71.12
103,inf,7746,71.15
104,inf,7746,71.18
105,inf,7746,71.20
106,inf,7746,71.22
107,inf,7746,71.25
108,inf,7746,71.27
109,inf,7746,71.29
110,inf,7746,71.31
111,inf,7746,71.33
112,inf,7746,71.35
113,inf,7746,71.38
114,inf,7746,71.41
115,inf,7746,71.44
116,inf,7746,71.47
117,inf,7746,71.49
118,inf,7746,71.51
119,inf,7746,71.54
120,inf,7746,71.58
121,inf,7746,71.60
122,inf,7746,71.64
123,inf,7746,71.67
124,inf,7746,71.70
125,inf,7746,71.71
126,inf,7746,71.74
127,inf,7746,71.78
128,inf,7746,71.80
129,inf,7746,71.82
130,inf,7746,71.86
131,inf,7746,71.88
132,inf,7746,71.90
133,inf,7746,71.92
134,inf,7746,71.95
135,inf,7746,71.97
136,inf,7746,72.00
137,inf,7746,72.04
138,inf,7746,72.06
139,inf,7746,72.07
140,inf,7746,72.10
141,inf,7746,72.13
142,inf,7746,72.15
143,inf,7746,72.19
144,inf,7746,72.22
145,inf,7746,72.25
146,inf,7746,72.27
147,inf,7746,72.29
148,inf,7746,72.31
149,inf,7746,72.34
150,inf,7746,72.36
151,inf,7746,72.75
152,inf,7746,72.78
153,inf,7746,72.81
154,inf,7746,72.84
155,inf,7746,72.88
156,inf,7746,72.90
157,inf,7746,72.92
158,inf,7746,72.95
159,inf,7746,72.99
160,inf,7746,73.01
161,inf,7746,73.04
162,inf,7746,73.06
163,inf,7746,73.08
164,inf,7746,73.10
165,inf,7746,73.14
166,inf,7746,73.17
167,inf,7746,73.19
168,inf,7746,73.21
169,inf,7746,73.22
170,inf,7746,73.25
171,inf,7746,73.27
172,inf,7746,73.29
173,inf,7746,73.33
174,inf,7746,73.35
175,inf,7746,73.38
176,inf,7746,73.40
177,inf,7746,73.43
178,inf,7746,73.45
179,inf,7746,73.48
180,inf,7746,73.50
181,inf,7746,73.54
182,inf,7746,73.56
183,inf,7746,73.60
184,inf,7746,73.62
185,inf,7746,73.65
186,inf,7746,73.68
187,inf,7746,73.70
188,inf,7746,73.73
189,inf,7746,73.75
190,inf,7746,73.78
191,inf,7746,73.81
192,inf,7746,73.83
193,inf,7746,73.85
194,inf,7746,73.88
195,inf,7746,73.91
196,inf,7746,73.93
197,inf,7746,73.96
198,inf,7746,74.00
199,inf,7746,74.04
200,inf,7746,74.05
201,inf,7746,74.44
202,inf,7746,74.46
203,inf,7746,74.50
204,inf,7746,74.52
205,inf,7746,74.55
206,inf,7746,74.59
207,inf,7746,74.62
208,inf,7746,74.64
209,inf,7746,74.67
210,inf,7746,74.70
211,inf,7746,74.72
212,inf,7746,74.74
213,inf,7746,74.77
214,inf,7746,74.79
215,inf,7746,74.83
216,inf,7746,74.87
217,inf,7746,74.90
218,inf,7746,74.92
219,inf,7746,74.94
220,inf,7746,74.97
221,inf,7746,74.99
222,inf,7746,75.02
223,inf,7746,75.04
224,inf,7746,75.07
225,inf,7746,75.11
226,inf,7746,75.13
227,inf,7746,75.16
228,inf,7746,75.20
229,inf,7746,75.22
230,inf,7746,75.25
231,inf,7746,75.28
232,inf,7746,75.30
233,inf,7746,75.34
234,inf,7746,75.36
235,inf,7746,75.39
236,inf,7746,75.42
237,inf,7746,75.44
238,inf,7746,75.47
239,inf,7746,75.51
240,inf,7746,75.55
241,inf,7746,75.57
242,inf,7746,75.60
243,inf,7746,75.63
244,inf,7746,75.67
245,inf,7746,75.70
246,inf,7746,75.72
247,inf,7746,75.75
248,inf,7746,75.77
249,inf,7746,75.80
250,inf,7746,75.82
251,inf,7746,76.20
252,inf,7746,76.22
253,inf,7746,76.25
254,inf,7746,76.28
255,inf,7746,76.30
256,inf,7746,76.34
257,inf,7746,76.35
258,inf,7746,76.38
259,inf,7746,76.40
260,inf,7746,76.44
261,inf,7746,76.46
262,inf,7746,76.48
263,inf,7746,76.50
264,inf,7746,76.53
265,inf,7746,76.57
266,inf,7746,76.59
267,inf,7746,76.62
268,inf,7746,76.64
269,inf,7746,76.67
270,inf,7746,76.70
271,inf,7746,76.74
272,inf,7746,76.78
273,inf,7746,76.80
274,inf,7746,76.82
275,inf,7746,76.84
276,inf,7746,76.87
277,inf,7746,76.88
278,inf,7746,76.92
279,inf,7746,76.95
280,inf,7746,76.98
281,inf,7746,77.00
282,inf,7746,77.02
283,inf,7746,77.04
284,inf,7746,77.06
