Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,3267,3267,1.76
1,inf,3267,1.77
2,inf,3267,1.78
3,inf,3267,1.80
4,inf,3267,1.85
5,inf,3267,1.86
6,inf,3267,1.88
7,inf,3267,1.89
8,inf,3267,1.91
9,inf,3267,1.96
10,inf,3267,1.97
11,inf,3267,1.98
12,inf,3267,2.00
13,inf,3267,2.01
14,inf,3267,2.03
15,inf,3267,2.04
16,inf,3267,2.06
17,inf,3267,2.07
18,inf,3267,2.08
19,inf,3267,2.13
20,inf,3267,2.14
21,inf,3267,2.19
22,inf,3267,2.20
23,inf,3267,2.25
24,inf,3267,2.26
25,inf,3267,2.28
26,inf,3267,2.29
27,inf,3267,2.30
28,inf,3267,2.31
29,inf,3267,2.33
30,inf,3267,2.38
31,inf,3267,2.39
32,inf,3267,2.40
33,inf,3267,2.42
34,inf,3267,2.43
35,inf,3267,2.48
36,inf,3267,2.49
37,inf,3267,2.54
38,inf,3267,2.55
39,inf,3267,2.60
40,inf,3267,2.61
41,inf,3267,2.66
42,inf,3267,2.67
43,inf,3267,2.69
44,inf,3267,2.70
45,inf,3267,2.71
46,inf,3267,2.72
47,inf,3267,2.74
48,inf,3267,2.75
49,inf,3267,2.76
50,inf,3267,2.78
51,inf,3267,2.97
52,inf,3267,3.02
53,inf,3267,3.04
54,inf,3267,3.09
55,inf,3267,3.14
56,inf,3267,3.15
57,inf,3267,3.16
58,inf,3267,3.18
59,inf,3267,3.19
60,inf,3267,3.24
61,inf,3267,3.25
62,inf,3267,3.26
63,inf,3267,3.28
64,inf,3267,3.29
65,inf,3267,3.30
66,inf,3267,3.31
67,inf,3267,3.33
68,inf,3267,3.34
69,inf,3267,3.35
70,inf,3267,3.37
71,inf,3267,3.38
72,inf,3267,3.40
73,inf,3267,3.41
74,inf,3267,3.46
75,inf,3267,3.47
76,inf,3267,3.49
77,inf,3267,3.50
78,inf,3267,3.55
79,inf,3267,3.56
80,inf,3267,3.61
81,inf,3267,3.62
82,inf,3267,3.63
83,inf,3267,3.65
84,inf,3267,3.66
85,inf,3267,3.67
