Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,170766,170766,281.95
1,inf,170766,281.99
2,inf,170766,282.02
3,inf,170766,282.10
4,inf,170766,282.14
5,inf,170766,282.18
6,inf,170766,282.22
7,inf,170766,282.26
8,inf,170766,282.34
9,inf,170766,282.38
10,inf,170766,282.42
11,inf,170766,282.49
12,inf,170766,282.56
13,inf,170766,282.60
14,inf,170766,282.64
15,inf,170766,282.68
16,inf,170766,282.71
17,inf,170766,282.80
18,inf,170766,282.88
19,inf,170766,282.96
20,inf,170766,283.04
21,inf,170766,283.08
22,inf,170766,283.12
23,inf,170766,283.15
24,inf,170766,283.19
25,inf,170766,283.23
26,inf,170766,283.26
27,inf,170766,283.34
28,inf,170766,283.38
29,inf,170766,283.46
30,inf,170766,283.54
31,inf,170766,283.62
32,inf,170766,283.66
33,inf,170766,283.70
34,inf,170766,283.74
35,inf,170766,283.81
36,inf,170766,283.89
37,inf,170766,283.93
38,inf,170766,284.02
39,inf,170766,284.06
40,inf,170766,284.10
41,inf,170766,284.14
42,inf,170766,284.22
43,inf,170766,284.26
44,inf,170766,284.30
45,inf,170766,284.34
46,inf,170766,284.38
47,inf,170766,284.41
48,inf,170766,284.45
49,inf,170766,284.49
50,inf,170766,284.52
51,inf,170766,286.01
52,inf,170766,286.04
53,inf,170766,286.08
54,inf,170766,286.11
55,inf,170766,286.16
56,inf,170766,286.19
57,inf,170766,286.28
58,inf,170766,286.36
59,inf,170766,286.39
60,inf,170766,286.48
61,inf,170766,286.57
62,inf,170766,286.61
63,inf,170766,286.65
64,inf,170766,286.73
65,inf,170766,286.77
66,inf,170766,286.81
67,inf,170766,286.90
68,inf,170766,286.93
69,inf,170766,287.01
70,inf,170766,287.10
71,inf,170766,287.14
72,inf,170766,287.21
73,inf,170766,287.30
74,inf,170766,287.34
75,inf,170766,287.38
76,inf,170766,287.41
77,inf,170766,287.45
78,inf,170766,287.49
79,inf,170766,287.53
80,inf,170766,287.57
81,inf,170766,287.60
82,inf,170766,287.64
83,inf,170766,287.68
84,inf,170766,287.77
85,inf,170766,287.81
86,inf,170766,287.84
87,inf,170766,287.88
88,inf,170766,287.92
89,inf,170766,288.00
90,inf,170766,288.04
91,inf,170766,288.13
92,inf,170766,288.17
93,inf,170766,288.20
94,inf,170766,288.24
95,inf,170766,288.31
96,inf,170766,288.40
