Iteracion,Costo_Actual,Mejor_Costo,Tiempo_Segundos
0,372706,372706,1638.07
1,inf,372706,1638.14
2,inf,372706,1638.19
3,inf,372706,1638.25
4,inf,372706,1638.30
5,inf,372706,1638.35
6,inf,372706,1638.40
7,inf,372706,1638.45
8,inf,372706,1638.51
9,inf,372706,1638.58
10,inf,372706,1638.63
11,inf,372706,1638.69
12,inf,372706,1638.75
13,inf,372706,1638.80
14,inf,372706,1638.87
15,inf,372706,1638.94
16,inf,372706,1638.99
17,inf,372706,1639.05
18,inf,372706,1639.10
19,inf,372706,1639.15
20,inf,372706,1639.23
21,inf,372706,1639.28
22,inf,372706,1639.35
23,inf,372706,1639.41
24,inf,372706,1639.48
25,inf,372706,1639.55
26,inf,372706,1639.60
27,inf,372706,1639.67
28,inf,372706,1639.73
29,inf,372706,1639.78
30,inf,372706,1639.84
31,inf,372706,1639.89
32,inf,372706,1639.95
33,inf,372706,1640.02
34,inf,372706,1640.07
35,inf,372706,1640.12
36,inf,372706,1640.18
37,inf,372706,1640.23
38,inf,372706,1640.28
39,inf,372706,1640.34
40,inf,372706,1640.39
41,inf,372706,1640.45
42,inf,372706,1640.51
43,inf,372706,1640.59
44,inf,372706,1640.64
45,inf,372706,1640.69
46,inf,372706,1640.76
47,inf,372706,1640.81
48,inf,372706,1640.86
49,inf,372706,1640.92
50,inf,372706,1640.97
51,inf,372706,1644.75
52,inf,372706,1644.82
53,inf,372706,1644.89
54,inf,372706,1644.94
55,inf,372706,1645.00
56,inf,372706,1645.05
57,inf,372706,1645.10
58,inf,372706,1645.15
59,inf,372706,1645.22
60,inf,372706,1645.29
61,inf,372706,1645.34
62,inf,372706,1645.39
63,inf,372706,1645.45
64,inf,372706,1645.50
65,inf,372706,1645.55
66,inf,372706,1645.60
67,inf,372706,1645.66
68,inf,372706,1645.72
69,inf,372706,1645.77
70,inf,372706,1645.83
71,inf,372706,1645.88
72,inf,372706,1645.95
73,inf,372706,1646.01
74,inf,372706,1646.06
75,inf,372706,1646.12
76,inf,372706,1646.17
77,inf,372706,1646.23
78,inf,372706,1646.28
79,inf,372706,1646.33
80,inf,372706,1646.39
81,inf,372706,1646.46
82,inf,372706,1646.52
83,inf,372706,1646.59
84,inf,372706,1646.65
85,inf,372706,1646.70
86,inf,372706,1646.75
87,inf,372706,1646.80
88,inf,372706,1646.86
89,inf,372706,1646.91
90,inf,372706,1646.96
91,inf,372706,1647.02
92,inf,372706,1647.07
93,inf,372706,1647.13
94,inf,372706,1647.20
95,inf,372706,1647.25
96,inf,372706,1647.31
97,inf,372706,1647.38
98,inf,372706,1647.44
99,inf,372706,1647.51
100,inf,372706,1647.58
101,inf,372706,1651.37
102,inf,372706,1651.42
103,inf,372706,1651.50
104,inf,372706,1651.55
105,inf,372706,1651.60
106,inf,372706,1651.65
107,inf,372706,1651.73
108,inf,372706,1651.78
109,inf,372706,1651.83
110,inf,372706,1651.89
111,inf,372706,1651.96
112,inf,372706,1652.02
113,inf,372706,1652.08
114,inf,372706,1652.13
115,inf,372706,1652.19
116,inf,372706,1652.25
117,inf,372706,1652.33
118,inf,372706,1652.38
119,inf,372706,1652.45
120,inf,372706,1652.51
